Lat,Long,Magnitude,Dates
48.0,35.0,2.8,17/12/1971
42.0,-24.0,2.0,20/12/1971
43.0,-47.0,1.9,11/12/1971
54.0,101.0,1.9,02/12/1972
12.0,46.0,1.0,17/12/1972
51.0,45.0,1.4,06/12/1972
-20.0,-80.0,1.2,09/12/1972
33.0,35.0,0.8,08/12/1973
-84.0,-134.0,3.2,13/12/1973
-1.0,-71.0,2.2,20/12/1973
-37.0,-29.0,1.1,01/12/1973
36.0,-16.0,0.7,23/12/1974
-48.0,-106.0,1.6,27/12/1974
-37.0,42.0,0.9,19/12/1974
21.0,88.0,2.7,11/12/1974
29.0,-98.0,3.2,03/12/1975
75.0,40.0,1.7,12/12/1975
-2.0,-51.0,1.1,13/12/1975
-19.0,-26.0,1.4,13/12/1975
-49.0,-45.0,1.3,07/12/1975
3.0,-58.0,1.4,27/12/1975
-8.0,64.0,1.8,10/12/1975
50.0,30.0,1.8,04/12/1976
38.0,44.0,1.1,12/12/1976
50.0,-20.0,2.3,06/12/1976
-19.0,-12.0,1.8,08/12/1976
77.0,-10.0,1.5,16/12/1976
